Mfg,Model,Model_Year,MPG,Weight,Cylinders,Horsepower,Acceleration,Displacement,KMPL
ford,ford granada gl                     ,81,20.2,3060,6,88,17.1,200,8.585
chrysler,chrysler lebaron salon              ,81,17.6,3465,6,85,16.6,225,7.48
chevrolet,chevrolet cavalier                  ,82,28,2605,4,88,19.6,112,11.9
chevrolet,chevrolet cavalier wagon            ,82,27,2640,4,88,18.6,112,11.475
chevrolet,chevrolet cavalier 2-door           ,82,34,2395,4,88,18,112,14.45
pontiac,pontiac j2000 se hatchback          ,82,31,2575,4,85,16.2,112,13.175
dodge,dodge aries se                      ,82,29,2525,4,84,16,135,12.325
pontiac,pontiac phoenix                     ,82,27,2735,4,90,18,151,11.475
ford,ford fairmont futura                ,82,24,2865,4,92,16.4,140,10.2
amc,amc concord dl                      ,82,23,3035,4,NaN,20.5,151,9.775
volkswagen,volkswagen rabbit l                 ,82,36,1980,4,74,15.3,105,15.3
mazda,mazda glc custom l                  ,82,37,2025,4,68,18.2,91,15.725
mazda,mazda glc custom                    ,82,31,1970,4,68,17.6,91,13.175
plymouth,plymouth horizon miser              ,82,38,2125,4,63,14.7,105,16.15
mercury,mercury lynx l                      ,82,36,2125,4,70,17.3,98,15.3
nissan,nissan stanza xe                    ,82,36,2160,4,88,14.5,120,15.3
honda,honda accord                        ,82,36,2205,4,75,14.5,107,15.3
toyota,toyota corolla                      ,82,34,2245,4,70,16.9,108,14.45
honda,honda civic                         ,82,38,1965,4,67,15,91,16.15
honda,honda civic (auto)                  ,82,32,1965,4,67,15.7,91,13.6
datsun,datsun 310 gx                       ,82,38,1995,4,67,16.2,91,16.15
buick,buick century limited               ,82,25,2945,6,110,16.4,181,10.625
oldsmobile,oldsmobile cutlass ciera (diesel)   ,82,38,3015,6,85,17,262,16.15
chrysler,chrysler lebaron medallion          ,82,26,2585,4,92,14.5,156,11.05
ford,ford granada l                      ,82,22,2835,6,112,14.7,232,9.35
toyota,toyota celica gt                    ,82,32,2665,4,96,13.9,144,13.6
dodge,dodge charger 2.2                   ,82,36,2370,4,84,13,135,15.3
chevrolet,chevrolet camaro                    ,82,27,2950,4,90,17.3,151,11.475
ford,ford mustang gl                     ,82,27,2790,4,86,15.6,140,11.475
volkswagen,volkswagen pickup                   ,82,44,2130,4,52,24.6,97,18.7
dodge,dodge rampage                       ,82,32,2295,4,84,11.6,135,13.6
ford,ford ranger                         ,82,28,2625,4,79,18.6,120,11.9
chevrolet,chevrolet s-10                      ,82,31,2720,4,82,19.4,119,13.175
